User ID,Clicks,Non-Clicks
U4348,"['N32312', 'N38298', 'N32483', 'N28088', 'N44796', 'N62875', 'N4593']","['N61623', 'N24686', 'N13930', 'N30998', 'N33964', 'N8957', 'N5370', 'N55204', 'N63538', 'N53585']"
U55958,"['N306', 'N32483']","['N25949', 'N22320', 'N41172', 'N59673', 'N60992', 'N14592', 'N43386']"
U69117,"['N36526', 'N54177']",[]
U2918,"['N65039', 'N14114', 'N61249', 'N35172']","['N4912', 'N26179']"
U5927,"['N29177', 'N306', 'N871', 'N5629', 'N1843', 'N4020', 'N64536', 'N34694', 'N62006', 'N3500', 'N46978']","['N26262', 'N22320', 'N4754', 'N60992', 'N14592']"
U39169,"['N52551', 'N48076', 'N61249', 'N64273', 'N64554', 'N20121', 'N4593']","['N9621', 'N27737', 'N48487', 'N48707', 'N33828', 'N41934', 'N50484']"
U41584,"['N58379', 'N10470', 'N14592', 'N39118', 'N5905', 'N63180']","['N49955', 'N22442', 'N62563', 'N12029', 'N261', 'N16804', 'N33677']"
U68232,"['N55189', 'N49040', 'N42137']","['N11087', 'N41172', 'N60992', 'N49194', 'N43386', 'N37793']"
U91125,"['N40716', 'N40508', 'N32483', 'N19594', 'N48332', 'N14102', 'N27583', 'N55582']","['N55275', 'N54752', 'N27737', 'N59267', 'N34185', 'N33828', 'N29212', 'N41934', 'N31679', 'N62894']"
U41325,"['N40716', 'N10470']","['N496', 'N41387', 'N35393', 'N43460', 'N29212', 'N31679', 'N16148', 'N62894', 'N3841', 'N46923', 'N55555', 'N4754', 'N59385', 'N62750', 'N50107', 'N26262', 'N54752', 'N41172', 'N33576', 'N1539', 'N62318', 'N9621', 'N61623', 'N29517', 'N39399', 'N45428', 'N41612']"
U44650,"['N3560', 'N63499', 'N34694', 'N3500', 'N38118']","['N24272', 'N27845', 'N25546', 'N5442', 'N30295', 'N26130', 'N41881', 'N279', 'N38783']"
U92834,"['N14644', 'N9226', 'N60702']",['N59981']
U14860,"['N14644', 'N65039', 'N871', 'N45597', 'N4020', 'N16965', 'N22279', 'N14801', 'N3500']","['N43519', 'N6056', 'N21656', 'N61623', 'N3841', 'N7470', 'N41020', 'N32544', 'N60105', 'N3179', 'N28324', 'N23547', 'N5370', 'N31978', 'N16314']"
U49929,"['N306', 'N35671']",['N4642']
U48023,"['N38825', 'N5558', 'N23907', 'N62451', 'N35415', 'N21701', 'N44402']","['N55275', 'N64228', 'N20793', 'N60550', 'N31679', 'N16148', 'N62894', 'N27101', 'N52294', 'N3841', 'N23008', 'N14170', 'N55555', 'N62563', 'N4754', 'N33831', 'N62750', 'N18862', 'N60186', 'N46477', 'N26262', 'N54752', 'N41172', 'N6056', 'N43587', 'N61623', 'N39949', 'N29517', 'N45428', 'N41612', 'N59761']"
U47560,"['N14742', 'N6007', 'N21576', 'N46795', 'N53585', 'N35369']","['N41172', 'N9139', 'N33964', 'N8957', 'N59981', 'N55204', 'N63538']"
U86595,"['N43955', 'N3344']","['N41020', 'N32182']"
U88635,"['N60991', 'N32312', 'N12523', 'N13968']","['N24272', 'N62838', 'N27845', 'N26179', 'N25546', 'N5442', 'N51378', 'N27583', 'N55582', 'N31679', 'N279', 'N43001', 'N38783']"
U55748,[],"['N4912', 'N49685']"
U11806,"['N26026', 'N52551', 'N26642']","['N21420', 'N48705']"
U77182,"['N35671', 'N48699', 'N2580', 'N25050', 'N64273', 'N52411', 'N63855']",['N32182']
U46551,[],"['N26179', 'N26130', 'N36545', 'N25471', 'N5905', 'N35172', 'N14780', 'N279', 'N12579', 'N61185', 'N38783']"
U83489,"['N26928', 'N64273', 'N7062']","['N14780', 'N35671', 'N38783']"
U307,"['N7242', 'N24919']","['N41172', 'N3841', 'N8907', 'N14170', 'N60550', 'N41612', 'N37793', 'N16148', 'N41697']"
U32085,"['N15761', 'N45428', 'N962', 'N35847']","['N20793', 'N54752']"
U37355,"['N54936', 'N1581', 'N32483', 'N64554', 'N14305']","['N43519', 'N6056', 'N61760', 'N41020', 'N32544', 'N962', 'N60105', 'N23547', 'N30475', 'N28327']"
U50440,"['N52551', 'N14170', 'N45335']","['N48705', 'N61623', 'N4404', 'N33831', 'N21701', 'N21420', 'N41612', 'N16148']"
U36216,['N2078'],"['N21420', 'N33831']"
U93678,"['N27320', 'N32312', 'N63695', 'N37033', 'N64955', 'N22674', 'N4922', 'N30295', 'N51705', 'N11882', 'N22101', 'N23903']","['N43519', 'N41020', 'N23547', 'N32182', 'N60105', 'N31978']"
U13629,[],"['N31679', 'N55275', 'N60550', 'N62894']"
U44557,['N26580'],"['N4912', 'N63538', 'N57090']"
U69194,"['N19787', 'N19494', 'N35560', 'N32573', 'N2018', 'N1603', 'N25885', 'N38668', 'N60702', 'N34937', 'N51741', 'N21170', 'N19429', 'N3500', 'N770', 'N50475', 'N14644', 'N12680', 'N306', 'N31748', 'N18094', 'N8331', 'N8448', 'N24073', 'N58232', 'N49975']","['N33828', 'N41934']"
U21673,"['N12306', 'N34669']","['N41020', 'N43519', 'N32544']"
U76462,['N58264'],['N261']
U18744,"['N29177', 'N50155', 'N42286', 'N28691', 'N306', 'N33154', 'N45933', 'N6056', 'N32585', 'N36699', 'N55189', 'N4705', 'N32483', 'N871', 'N35009', 'N30113', 'N61388', 'N60673']","['N59390', 'N49279', 'N61185']"
U65496,"['N26262', 'N16344']","['N38337', 'N32544', 'N60105', 'N16920', 'N31978']"
U76360,"['N45387', 'N57147', 'N38747', 'N38783']","['N37651', 'N28324', 'N36545', 'N26130', 'N5370', 'N22549', 'N5905', 'N14780', 'N31679', 'N41651', 'N28983', 'N23184', 'N55897', 'N24686', 'N7754', 'N27079', 'N23254', 'N35172', 'N46309', 'N14305', 'N22617', 'N3541', 'N54752', 'N35671', 'N15761', 'N63538', 'N46258', 'N49030', 'N4633', 'N58030', 'N61623', 'N61006', 'N16344', 'N26179', 'N28382']"
U32070,[],[]
U67753,"['N29177', 'N49481', 'N16417', 'N1843', 'N20397', 'N30501', 'N32799', 'N2018', 'N1603', 'N58580', 'N62006', 'N1386', 'N56518', 'N51741', 'N7422', 'N5290']",[]
U62086,[],"['N8929', 'N45211']"
U79785,"['N17214', 'N28088', 'N43955']","['N496', 'N51772', 'N33831', 'N21701', 'N16148']"
U70584,"['N56447', 'N4593']","['N29212', 'N1539', 'N41387']"
U79437,"['N48076', 'N64554']",[]
U90941,['N48829'],"['N38337', 'N44290', 'N17342', 'N103', 'N13930', 'N32544', 'N60105', 'N3179', 'N5370', 'N25471', 'N28448', 'N49279', 'N31978', 'N16804', 'N50515', 'N50302', 'N25867']"
U69760,[],['N41387']
U93152,[],"['N20166', 'N63538', 'N57090', 'N4912']"
U85418,"['N27320', 'N49588', 'N51396', 'N32483', 'N4020', 'N15402', 'N36530', 'N37811', 'N21165', 'N52411', 'N39376', 'N63855']","['N24272', 'N5442', 'N27845', 'N41881']"
U1644,"['N871', 'N49685', 'N36530', 'N51705', 'N20121', 'N38909', 'N10867']","['N4912', 'N26179', 'N61623', 'N24686', 'N61006', 'N5370', 'N36545', 'N26130', 'N27079', 'N21519', 'N22549', 'N14780', 'N31679', 'N28382', 'N28983']"
U73621,[],"['N4912', 'N3541', 'N61623', 'N24686', 'N15761', 'N23784', 'N49685', 'N48350', 'N54300', 'N61006', 'N26130', 'N5370', 'N23254', 'N56209', 'N40356', 'N1914', 'N38783']"
U92055,[],['N36910']
U77707,"['N48497', 'N29985', 'N62714']","['N3541', 'N61623', 'N24686', 'N15761', 'N3697', 'N8957', 'N5370', 'N23254', 'N59981', 'N16804', 'N55204', 'N17140', 'N63538', 'N53585', 'N1914']"
U29711,"['N55897', 'N52022', 'N6461', 'N54522', 'N61388', 'N39376']",[]
U48272,[],"['N55275', 'N9621', 'N27737', 'N48487', 'N45428', 'N41934', 'N50484']"
U20600,"['N58871', 'N4754']","['N26262', 'N6066', 'N14592', 'N16804', 'N3344']"
U44847,[],"['N63538', 'N57090']"
U83224,[],[]
U53399,['N53585'],['N55204']
U74486,"['N62838', 'N8073', 'N23518', 'N306', 'N12680', 'N13136', 'N18676', 'N1985', 'N20575', 'N41449', 'N7938', 'N44402', 'N35560', 'N26026', 'N31599', 'N12367', 'N41298', 'N2078']","['N3344', 'N26262', 'N261']"
U24380,['N18321'],['N43266']
U32845,['N28879'],"['N9621', 'N27737', 'N33828', 'N41934', 'N48487']"
U7952,"['N49731', 'N56913', 'N2945', 'N548', 'N13180', 'N55189', 'N21136', 'N45737', 'N40508', 'N15634', 'N56447', 'N37811', 'N16770', 'N4593', 'N770', 'N37748', 'N10347', 'N306', 'N53052', 'N15034', 'N871', 'N21358', 'N9165', 'N2533', 'N18094', 'N36934', 'N63210']","['N4912', 'N56278', 'N3541', 'N61623', 'N54300', 'N61006', 'N5370', 'N23254', 'N35172', 'N26179', 'N1914']"
U59847,"['N23376', 'N15109', 'N50756', 'N32933', 'N9226']","['N4642', 'N18406', 'N22320']"
U7373,[],"['N496', 'N41387', 'N62318', 'N34185', 'N1539', 'N29212']"
U53808,"['N55189', 'N54522', 'N59742', 'N29857', 'N48284', 'N18106', 'N28123', 'N48715', 'N58644', 'N18845', 'N28365']","['N16920', 'N51478']"
U3213,"['N306', 'N38298']",[]
U17723,"['N47508', 'N47479', 'N2945', 'N25885', 'N13117', 'N45729', 'N37915', 'N32544', 'N58264', 'N28088', 'N22101', 'N7242', 'N16965', 'N53100', 'N36530', 'N37811', 'N56486', 'N4593', 'N25113', 'N16770', 'N37748', 'N27922', 'N50372', 'N871', 'N23119', 'N49809', 'N2533', 'N12367', 'N57742', 'N8448']","['N41020', 'N43519', 'N60105']"
U8816,"['N53948', 'N4912', 'N871', 'N58401', 'N22674', 'N51705', 'N14349', 'N25113']",[]
U35683,"['N51053', 'N30518']","['N16920', 'N58410', 'N53585', 'N55204']"
U89995,"['N48614', 'N34455', 'N53052']","['N26130', 'N4912', 'N1914', 'N61623']"
U29083,[],"['N63538', 'N57090']"
U48474,"['N26714', 'N1581', 'N21358', 'N64554', 'N54522', 'N5270']",[]
U23480,['N42127'],['N31978']
U21492,['N6436'],[]
U6535,"['N9554', 'N52551', 'N32483', 'N36557', 'N14349', 'N35607', 'N51818', 'N41633']","['N20793', 'N55275', 'N496', 'N41387', 'N61760', 'N35393', 'N29212', 'N60550', 'N62001', 'N31679', 'N38053', 'N16148', 'N41697', 'N62894', 'N3841', 'N29364', 'N58264', 'N34185', 'N33831', 'N20603', 'N62750', 'N55723', 'N46736', 'N26262', 'N54752', 'N41172', 'N21030', 'N38797', 'N33576', 'N1539', 'N21701', 'N6056', 'N36408', 'N38311', 'N61623', 'N62318', 'N59267', 'N36612', 'N9621', 'N6066', 'N12029', 'N45428', 'N55943', 'N24109']"
U52196,[],"['N3841', 'N4404', 'N60550']"
U10779,"['N14742', 'N55189', 'N41020', 'N10195', 'N42128', 'N25885', 'N5270']","['N24111', 'N3344', 'N32544', 'N32182']"
U79044,['N4642'],[]
U56798,"['N41020', 'N53052', 'N33170', 'N53531']","['N6056', 'N26262', 'N32544', 'N60105', 'N31978']"
U65837,"['N4922', 'N42137', 'N1066', 'N30531', 'N39376', 'N44402']","['N6056', 'N26262', 'N41020', 'N32544', 'N45422', 'N3344']"
U12598,"['N22455', 'N7938']","['N25949', 'N6056', 'N26262', 'N41387', 'N22320', 'N41172', 'N61623', 'N35847', 'N43386', 'N22442', 'N4754', 'N60992', 'N14592', 'N59385', 'N49194', 'N51187', 'N3344', 'N37793']"
U24385,"['N55189', 'N48284', 'N21576', 'N10386']","['N26179', 'N23784', 'N26130', 'N12523', 'N14780', 'N279', 'N12579', 'N38783']"
U83901,[],"['N43671', 'N14364', 'N17342', 'N28324', 'N54300', 'N26130', 'N36545', 'N32204', 'N5905', 'N55582', 'N14780', 'N31679', 'N41400', 'N38783', 'N12579', 'N55897', 'N23784', 'N7754', 'N57179', 'N35172', 'N279', 'N22617', 'N54752', 'N28934', 'N4080', 'N25471', 'N40356', 'N1914', 'N50372', 'N25546', 'N6658', 'N45428', 'N56665', 'N16344', 'N26179', 'N43001']"
U42778,[],['N32182']
U32579,"['N50155', 'N53948', 'N37811', 'N871', 'N55189', 'N52551', 'N64536', 'N61313', 'N55943', 'N13754', 'N47090', 'N7422', 'N15023', 'N4593', 'N10347']","['N62318', 'N41387', 'N34185', 'N1539', 'N29212', 'N24109']"
U54736,[],"['N49001', 'N41172', 'N61760', 'N33831', 'N4642', 'N21420', 'N21712', 'N62894']"
U15649,"['N28088', 'N61806', 'N13180']","['N3344', 'N261']"
U13683,[],[]
U50261,[],['N60992']
U32383,"['N8073', 'N50155', 'N49731', 'N306', 'N65039', 'N24625', 'N871', 'N55189', 'N770', 'N32368', 'N4020', 'N22279', 'N14801', 'N44423', 'N20121', 'N37820', 'N38118', 'N49040']",[]
U19063,"['N29177', 'N32312', 'N59673', 'N10470', 'N2945', 'N46795', 'N60702', 'N40912', 'N20575', 'N42435', 'N51566', 'N55258', 'N27320', 'N44551', 'N64955', 'N27612', 'N36530', 'N26642', 'N7499', 'N4593', 'N306', 'N14742', 'N3560', 'N51044', 'N64273', 'N36934', 'N51818', 'N58580', 'N27583', 'N61388', 'N26179']","['N64228', 'N41387', 'N22442', 'N3344', 'N62894', 'N27101', 'N52294', 'N62563', 'N4754', 'N60992', 'N59385', 'N51187', 'N60186', 'N26262', 'N47748', 'N39949', 'N23547', 'N48077', 'N49194']"
U27581,"['N58871', 'N14801']","['N64536', 'N41881', 'N52433', 'N55582', 'N43001', 'N38783']"
U8423,"['N29177', 'N36754', 'N5290']","['N24272', 'N27845', 'N5442', 'N41881', 'N26179', 'N38783']"
U31537,"['N48497', 'N306', 'N40716', 'N871', 'N20342', 'N26026', 'N921']","['N46477', 'N41172', 'N44290', 'N43386', 'N4642', 'N21420', 'N21712']"
U49232,"['N17009', 'N6419', 'N10470', 'N1603', 'N20121', 'N48715', 'N20575', 'N54755', 'N36530', 'N54235', 'N14102', 'N37811', 'N37748', 'N33154', 'N32182', 'N42137', 'N18094', 'N34722', 'N41244']","['N24111', 'N6056', 'N41020', 'N38309', 'N51187', 'N3344']"
U63779,"['N55189', 'N6817']","['N4912', 'N63538', 'N57090', 'N61623']"
U27675,"['N29177', 'N49731', 'N32312', 'N38298', 'N42289', 'N4830', 'N33120', 'N49040', 'N20344', 'N2046', 'N60938', 'N45729', 'N42435', 'N7422', 'N32483', 'N4020', 'N51692', 'N27612', 'N26642', 'N21576', 'N4593', 'N10347', 'N40716', 'N871', 'N30682', 'N42137', 'N30531']","['N21701', 'N59673', 'N43386', 'N3589', 'N33831', 'N4642', 'N21420']"
U31240,[],"['N48705', 'N26262', 'N41172', 'N4754', 'N33831', 'N59385', 'N60550', 'N21420', 'N4404', 'N62894']"
U32796,"['N25949', 'N60364', 'N52303']","['N60992', 'N59385']"
U72488,"['N306', 'N1603']","['N6056', 'N21420', 'N41172', 'N61623', 'N24686', 'N3841', 'N59673', 'N43386', 'N5370', 'N4754', 'N3589', 'N14592', 'N43460', 'N59385', 'N19647', 'N21701', 'N35847', 'N3344']"
U25072,"['N54936', 'N38298', 'N15034', 'N55897', 'N20575', 'N41229', 'N54300', 'N53531', 'N33254', 'N30450', 'N14114', 'N47090']","['N55275', 'N496', 'N54752', 'N41387', 'N9621', 'N59267', 'N36612', 'N3841', 'N58264', 'N24109', 'N34185', 'N47087', 'N55943', 'N29212', 'N16148', 'N62894']"
U49415,"['N496', 'N60702']","['N36408', 'N41387', 'N55555', 'N38797', 'N33576', 'N35393', 'N33831', 'N1539', 'N29212', 'N12029', 'N55943', 'N46736', 'N16148']"
U85431,"['N37915', 'N49685', 'N54300', 'N8448', 'N35172', 'N23184']","['N26179', 'N25546', 'N26130', 'N45428', 'N21519', 'N49030', 'N31679', 'N279', 'N50060', 'N38783']"
U17125,[],"['N26262', 'N41172', 'N52409', 'N4754', 'N14592', 'N43386', 'N62894']"
U71308,"['N22617', 'N306', 'N61708', 'N39118', 'N30429']",['N41020']
U10555,"['N53585', 'N8331', 'N42289', 'N35671']","['N13930', 'N55204']"
U34761,[],"['N4912', 'N63538', 'N57090', 'N61623']"
U54593,"['N29177', 'N55189']",[]
U67390,[],[]
U60176,"['N36398', 'N58264', 'N19845']",['N41020']
U75593,"['N306', 'N52874']","['N30998', 'N13930', 'N33964', 'N8957', 'N55204', 'N53585', 'N63538', 'N30518']"
U71802,[],[]
U49834,"['N3541', 'N50299', 'N22705']","['N26262', 'N41172', 'N61623', 'N33964', 'N8957', 'N2823', 'N59981', 'N16804', 'N55204', 'N63538']"
U24894,['N41881'],['N27845']
U25554,"['N13689', 'N52858', 'N52330']","['N64228', 'N10386', 'N26130', 'N42491', 'N12523', 'N5370', 'N5905', 'N50060', 'N38783', 'N13689', 'N19117', 'N27101', 'N52294', 'N24686', 'N49685', 'N37589', 'N36910', 'N25142', 'N23254', 'N20533', 'N29536', 'N53291', 'N60186', 'N16568', 'N3541', 'N28934', 'N15761', 'N40356', 'N56209', 'N52433', 'N1914', 'N4912', 'N3737', 'N43587', 'N61623', 'N39949', 'N38488', 'N59761']"
U36561,[],"['N26262', 'N4754', 'N33831', 'N60550', 'N4642', 'N21420']"
U62687,"['N15023', 'N2910']","['N55275', 'N62318', 'N54752', 'N27737', 'N59267', 'N34185', 'N33828', 'N29212', 'N31679', 'N62894']"
U59164,"['N61388', 'N9226']","['N41020', 'N32544', 'N32182', 'N23547', 'N38309', 'N3344']"
U23192,"['N55599', 'N14742', 'N35671', 'N41387', 'N26319', 'N60702', 'N56486', 'N61388', 'N4593']","['N55275', 'N496', 'N35393', 'N29212', 'N16148', 'N62894', 'N3841', 'N58264', 'N34185', 'N33831', 'N54752', 'N1539', 'N38311', 'N62318', 'N9621', 'N59267', 'N36612', 'N45428', 'N55943', 'N24109']"
U88202,"['N30531', 'N41172']","['N23008', 'N41172']"
U83765,"['N28088', 'N64554', 'N3500']",[]
U25613,['N29177'],[]
U75176,"['N20342', 'N26580', 'N14592', 'N64554', 'N30765']",['N60992']
U77550,[],"['N24272', 'N27845', 'N52294', 'N28214', 'N39949', 'N5442', 'N60186', 'N26130', 'N41881', 'N5905', 'N38783']"
U48054,"['N51692', 'N58698']",[]
